,Type
12565,0
16905,1
20,0
11850,0
12624,0
13047,0
16673,1
1851,1
4139,0
2473,1
16073,1
10802,0
1922,1
17937,0
10689,0
9376,1
13135,0
2342,1
17911,0
6478,1
7458,1
13721,1
6029,0
7687,1
7315,1
14570,1
9734,1
4653,0
4130,0
16627,1
14377,1
1217,1
16468,1
12401,0
14625,1
7655,1
8829,1
1954,1
8009,1
1740,1
17539,0
457,1
15033,1
17757,0
10085,1
9093,1
13342,0
63,1
7671,1
13624,1
5005,0
11354,0
4935,0
11200,0
14891,1
17090,1
13530,1
1454,1
8440,1
16430,1
15074,1
14697,1
17404,0
1817,1
16844,1
61,1
3098,1
5651,0
5245,0
18046,0
633,1
1923,1
16356,1
7858,1
9138,1
10890,0
17213,0
13266,0
15484,1
3147,1
9109,1
5449,0
12756,0
6357,0
14436,1
16319,1
9512,1
4169,0
407,1
10908,0
13480,0
5601,0
1623,1
1595,1
6377,0
12279,0
170,1
2882,1
3205,1
10714,0
5687,0
10431,0
7907,1
15345,1
15765,1
11853,0
13804,1
1385,1
8288,1
683,1
8492,1
12967,0
12510,0
13457,0
7816,1
13539,1
8585,1
14562,1
800,1
747,1
4029,0
7628,1
8845,1
2206,1
3056,1
8650,1
590,1
14088,1
10484,0
3689,0
1491,1
14573,1
7410,1
16539,1
1405,1
962,1
12901,0
9358,1
17601,0
8037,1
17899,0
7603,1
10124,1
3286,1
13356,0
13765,1
8013,1
11571,0
12438,0
9561,1
14015,1
5719,0
8018,1
17416,0
9785,1
5736,0
13916,1
4682,0
6245,0
15944,1
10835,0
9840,1
14188,1
3325,0
15682,1
7053,1
8994,1
13976,1
17854,0
17074,1
9351,1
8983,1
1612,1
5174,0
16950,1
6459,1
10475,0
10763,0
9188,1
6050,0
2675,1
14165,1
9720,1
12461,0
14129,1
10084,1
11287,0
1744,1
13310,0
1822,1
811,1
868,1
7316,1
17586,0
17716,0
3280,1
7748,1
13330,0
14978,1
16228,1
16200,1
17521,0
17444,0
3524,0
4915,0
5805,0
9002,1
12995,0
2558,1
1844,1
7749,1
7700,1
11725,0
8494,1
4533,0
18038,0
5252,0
4044,0
9666,1
12911,0
11031,0
4473,0
3372,0
7302,1
8129,1
3634,0
14327,1
1743,1
9258,1
11633,0
3517,0
16761,1
11117,0
5702,0
9000,1
16765,1
4604,0
3396,0
29,1
520,1
10856,0
131,1
4643,0
11050,0
12752,0
17953,0
15530,1
13878,1
6216,0
7635,1
7136,1
8958,1
1979,1
7897,1
16187,1
10520,0
6742,0
13616,1
5468,0
3597,0
2201,1
9341,1
1579,1
4398,0
11776,0
7199,1
15307,1
13693,1
9835,1
5786,0
6188,0
14909,1
5721,0
14525,1
15308,1
6880,1
15654,1
2769,1
388,1
1953,1
9912,1
13243,0
12802,0
13558,1
315,1
2004,1
13845,1
413,1
16763,1
16688,1
3383,0
17723,0
605,1
15,0
8907,1
9180,1
17531,0
3049,1
3952,0
309,1
1483,1
1253,1
8978,1
6486,1
7985,1
17923,0
2517,1
7346,1
13620,1
17116,1
2128,1
702,1
1947,1
4866,0
14071,1
3842,0
12284,0
9931,1
1111,1
9857,1
1904,1
5128,0
637,1
248,1
2406,1
11629,0
696,1
17052,1
12462,0
15395,1
15320,1
2228,1
9812,1
7800,1
70,1
17995,0
1178,1
4993,0
10063,1
15701,1
1891,1
4844,0
15683,1
14695,1
11009,0
14926,1
11014,0
16931,1
2089,1
17045,1
13159,0
4191,0
18010,0
2957,1
15292,1
15862,1
7289,1
5838,0
1083,1
16865,1
2853,1
15649,1
6425,1
15615,1
5272,0
944,1
10031,1
15946,1
13325,0
17680,0
14535,1
10994,0
3328,0
14106,1
16833,1
8527,1
367,1
10879,0
7948,1
11335,0
7827,1
1152,1
5418,0
9534,1
10399,0
4313,0
9125,1
7351,1
16100,1
14659,1
2012,1
2615,1
7634,1
5760,0
16544,1
10963,0
11482,0
184,1
5496,0
11898,0
10420,0
5025,0
8086,1
10356,0
14187,1
6173,0
10333,0
17327,0
9210,1
11386,0
592,1
7363,1
8109,1
12164,0
1028,1
8489,1
3925,0
14062,1
6717,0
538,1
11434,0
13443,0
7042,1
11792,0
4905,0
13008,0
16486,1
8318,1
8889,1
2310,1
6569,0
13888,1
14107,1
6595,0
3455,0
5905,0
17967,0
14128,1
10044,1
10599,0
15541,1
14306,1
13286,0
4162,0
1765,1
12332,0
4536,0
10017,1
17541,0
7047,1
14321,1
14883,1
465,1
11726,0
1197,1
4209,0
15000,1
10100,1
12052,0
7919,1
7981,1
9029,1
2531,1
14647,1
5267,0
4003,0
8736,1
17173,0
7757,1
2019,1
15454,1
13229,0
11468,0
17526,0
10216,0
11177,0
4111,0
15498,1
4486,0
1945,1
15365,1
9978,1
2570,1
9441,1
7100,1
10638,0
13238,0
5050,0
17375,0
7695,1
12516,0
14028,1
4455,0
16373,1
3283,1
14232,1
16111,1
5885,0
15276,1
6874,1
10649,0
9320,1
158,1
2452,1
1237,1
17655,0
2060,1
881,1
3307,0
14638,1
16553,1
4959,0
12078,0
133,1
4802,0
9925,1
9423,1
408,1
8193,1
10818,0
12989,0
2058,1
6311,0
16792,1
5098,0
10755,0
5527,0
2764,1
13741,1
12117,0
12684,0
4716,0
8798,1
2215,1
9972,1
3045,1
12747,0
1482,1
8203,1
5042,0
14136,1
2943,1
8641,1
5815,0
10904,0
16740,1
13637,1
3693,0
2548,1
11127,0
6962,1
14446,1
7724,1
3469,0
12244,0
5567,0
15790,1
5453,0
15468,1
4064,0
14222,1
1858,1
16354,1
16991,1
4343,0
16845,1
9487,1
3355,0
15917,1
4030,0
17525,0
15101,1
8833,1
8688,1
13853,1
10666,0
10263,0
17635,0
1057,1
17136,0
9921,1
8930,1
11809,0
872,1
16473,1
4015,0
4231,0
6086,0
5817,0
12704,0
3492,0
14629,1
5139,0
11025,0
7066,1
17908,0
9415,1
1924,1
6417,1
5927,0
8241,1
1351,1
12148,0
5161,0
7803,1
866,1
3344,0
4301,0
12097,0
3533,0
2449,1
15093,1
4900,0
11682,0
260,1
5701,0
6647,0
16251,1
17003,1
14847,1
7197,1
6275,0
2209,1
833,1
9375,1
12848,0
16667,1
11688,0
16090,1
898,1
12971,0
2417,1
15001,1
4676,0
2921,1
12065,0
2249,1
3473,0
12465,0
5549,0
16423,1
14132,1
7172,1
2459,1
16330,1
429,1
2966,1
17774,0
12724,0
9529,1
9373,1
7360,1
12739,0
6702,0
17920,0
9736,1
12152,0
17044,1
10889,0
15497,1
12767,0
9798,1
11432,0
5863,0
9301,1
4395,0
2903,1
14331,1
9159,1
5422,0
7336,1
10862,0
16278,1
15326,1
14568,1
620,1
1656,1
2628,1
17410,0
8029,1
8104,1
14637,1
12408,0
1686,1
3881,0
9073,1
4215,0
11055,0
12367,0
5587,0
3322,0
1723,1
11433,0
7861,1
6805,1
3465,0
9769,1
15678,1
13005,0
15372,1
6220,0
7245,1
6388,1
9434,1
15910,1
376,1
3460,0
10456,0
825,1
704,1
4012,0
2655,1
4950,0
12631,0
6987,1
16760,1
6634,0
8815,1
3442,0
9543,1
208,1
2337,1
14223,1
4872,0
3066,1
14155,1
9392,1
7132,1
3909,0
10875,0
14201,1
17522,0
7254,1
5172,0
1934,1
16911,1
4694,0
8156,1
9396,1
2804,1
7015,1
14967,1
8348,1
461,1
11325,0
753,1
5426,0
9684,1
6329,0
12272,0
14273,1
4129,0
1049,1
14720,1
15161,1
7089,1
7917,1
17611,0
11750,0
8826,1
10196,0
14928,1
8355,1
908,1
6385,1
11058,0
16098,1
12283,0
1841,1
3388,0
12407,0
4121,0
12673,0
1201,1
16501,1
111,1
17978,0
1701,1
15100,1
8899,1
8478,1
978,1
16878,1
13486,0
6787,1
12939,0
12672,0
8784,1
15103,1
4960,0
15540,1
5893,0
15370,1
1408,1
17102,1
8164,1
17113,1
9933,1
6402,1
3386,0
13351,0
11877,0
8375,1
4641,0
16010,1
12081,0
1614,1
16926,1
12774,0
9780,1
12788,0
15833,1
13233,0
2366,1
6612,0
16689,1
6621,0
3996,0
14150,1
4913,0
3679,0
13292,0
8265,1
17343,0
13110,0
4106,0
12311,0
14975,1
216,1
13520,0
9295,1
16215,1
7391,1
4707,0
13405,0
13030,0
9929,1
14542,1
14429,1
3804,0
10454,0
12193,0
10036,1
5076,0
5620,0
13897,1
9443,1
16874,1
15886,1
9416,1
763,1
9183,1
6693,0
13505,0
8914,1
6235,0
13662,1
13899,1
14130,1
7472,1
7168,1
2913,1
3351,0
2390,1
8509,1
10126,1
17378,0
17363,0
15041,1
1621,1
1202,1
13646,1
8076,1
15098,1
6260,0
2477,1
482,1
14700,1
15856,1
10052,1
8918,1
8379,1
12872,0
10323,0
14217,1
5814,0
10414,0
3297,0
1126,1
16451,1
17714,0
11677,0
8749,1
15864,1
1669,1
9367,1
10747,0
9430,1
12024,0
1295,1
9450,1
3898,0
6423,1
10742,0
5924,0
3312,0
479,1
1596,1
12362,0
6489,1
17326,0
6529,1
7224,1
15339,1
2487,1
5479,0
15105,1
7702,1
16581,1
17981,0
6307,0
16103,1
647,1
12518,0
3613,0
17269,0
17388,0
1457,1
17691,0
14301,1
11464,0
7735,1
17289,0
5826,0
883,1
543,1
567,1
606,1
17650,0
9966,1
12505,0
14492,1
13166,0
3470,0
5937,0
16775,1
12455,0
741,1
11903,0
1977,1
18014,0
17548,0
2144,1
4457,0
15894,1
4429,0
13244,0
17567,0
2286,1
5434,0
714,1
16037,1
14998,1
3914,0
5508,0
8565,1
7881,1
3404,0
510,1
15614,1
10926,0
11061,0
12675,0
17465,0
839,1
15690,1
14714,1
14956,1
5165,0
16056,1
4889,0
5883,0
8981,1
13220,0
4840,0
10198,0
1142,1
3463,0
11074,0
3728,0
7359,1
5732,0
5461,0
7663,1
1801,1
4756,0
17842,0
13170,0
530,1
1540,1
15226,1
12434,0
1919,1
2753,1
17365,0
12320,0
3427,0
9999,1
8544,1
1949,1
8403,1
15483,1
16063,1
2412,1
12745,0
12818,0
4122,0
11995,0
16596,1
9161,1
1332,1
17805,0
16570,1
2876,1
5407,0
10011,1
8280,1
1077,1
12573,0
13861,1
10328,0
6945,1
12286,0
1183,1
7486,1
13999,1
15359,1
3060,1
3859,0
8710,1
10974,0
8294,1
15561,1
6158,0
3270,1
14685,1
6209,0
6532,1
3879,0
7327,1
2180,1
11232,0
10968,0
10678,0
13455,0
16522,1
9412,1
16362,1
17492,0
8956,1
9058,1
6517,1
11854,0
6535,1
9668,1
3694,0
9366,1
10819,0
17075,1
12212,0
15544,1
14290,1
6562,0
11210,0
4356,0
185,1
863,1
14310,1
16675,1
4062,0
7625,1
16146,1
15264,1
6847,1
1415,1
17210,0
6679,0
16592,1
7030,1
2163,1
5998,0
8034,1
11355,0
12536,0
12002,0
11933,0
16550,1
16799,1
12860,0
1594,1
13670,1
7524,1
12433,0
14474,1
4772,0
10290,0
9214,1
5354,0
921,1
11673,0
4984,0
5278,0
17784,0
2205,1
15869,1
12881,0
14910,1
17117,1
981,1
2456,1
14703,1
15602,1
3685,0
6886,1
15880,1
16171,1
8670,1
6369,0
2331,1
13798,1
9537,1
13708,1
2898,1
14689,1
10549,0
4420,0
10306,0
2552,1
15259,1
15250,1
1665,1
11188,0
3837,0
2582,1
7834,1
14999,1
724,1
14351,1
11566,0
15523,1
9652,1
4685,0
3142,1
15097,1
10726,0
7762,1
8896,1
3527,0
1791,1
7916,1
4295,0
17400,0
8291,1
15499,1
9922,1
10687,0
11197,0
5040,0
2168,1
15554,1
3275,1
2333,1
1760,1
17158,0
16963,1
2945,1
7760,1
8807,1
8862,1
10794,0
7571,1
5284,0
15380,1
13934,1
6812,1
6118,0
11619,0
4969,0
116,1
7275,1
13586,1
15993,1
8233,1
13285,0
15724,1
15774,1
6210,0
15042,1
1626,1
12331,0
6321,0
5333,0
7414,1
12723,0
2280,1
12136,0
12627,0
4834,0
14166,1
979,1
3819,0
17610,0
14656,1
15924,1
9289,1
16147,1
1018,1
2955,1
13743,1
17013,1
15130,1
3371,0
2400,1
15257,1
16828,1
3029,1
16185,1
14326,1
2075,1
5425,0
949,1
4496,0
12784,0
2991,1
14517,1
7152,1
16444,1
2067,1
5604,0
9371,1
8606,1
13459,0
7998,1
17767,0
14248,1
15006,1
13103,0
321,1
10479,0
13111,0
17386,0
13448,0
9618,1
12779,0
16460,1
16599,1
4630,0
4878,0
8704,1
4617,0
4359,0
16857,1
15394,1
17721,0
8637,1
3538,0
11492,0
5228,0
8542,1
16003,1
15735,1
11097,0
8396,1
3519,0
7779,1
252,1
17780,0
5163,0
3691,0
10200,0
8626,1
11364,0
15727,1
12281,0
2619,1
5120,0
8628,1
1839,1
13088,0
5239,0
15502,1
11840,0
16120,1
15798,1
14760,1
10567,0
11681,0
11845,0
762,1
12246,0
110,1
2442,1
13771,1
10008,1
2754,1
11131,0
14782,1
9675,1
4077,0
9377,1
8629,1
13197,0
8664,1
7963,1
8471,1
245,1
15280,1
16620,1
6631,0
7894,1
95,1
8759,1
8621,1
2611,1
10545,0
2818,1
16214,1
219,1
15458,1
13868,1
8794,1
2733,1
8473,1
7541,1
2457,1
5771,0
2533,1
5703,0
14023,1
9724,1
17486,0
14927,1
12378,0
8246,1
17361,0
9578,1
13821,1
4791,0
10536,0
6195,0
14693,1
319,1
17011,1
8439,1
2375,1
3337,0
5910,0
5943,0
5913,0
5614,0
6179,0
5493,0
15009,1
14922,1
11291,0
330,1
1786,1
812,1
1978,1
3116,1
8459,1
16508,1
613,1
1282,1
14324,1
6927,1
11920,0
14701,1
6983,1
13690,1
12463,0
10194,0
11876,0
16838,1
8441,1
7553,1
11203,0
16607,1
9347,1
12986,0
3464,0
17084,1
3921,0
11121,0
15681,1
4337,0
513,1
10134,1
14268,1
6803,1
6760,0
10159,1
8604,1
3018,1
2692,1
5379,0
14621,1
8094,1
7058,1
8940,1
7900,1
10351,0
13968,1
17440,0
10675,0
2664,1
92,1
14509,1
11039,0
1731,1
4329,0
11506,0
12270,0
10928,0
2318,1
16723,1
14624,1
16847,1
8008,1
14746,1
10618,0
16426,1
1451,1
5340,0
3467,0
9239,1
10855,0
12397,0
12128,0
5351,0
2794,1
3869,0
7017,1
1943,1
7182,1
2593,1
14761,1
14544,1
14983,1
6286,0
16191,1
4526,0
11170,0
5304,0
9977,1
4520,0
15050,1
2992,1
10563,0
5144,0
1511,1
8827,1
5635,0
8674,1
9236,1
1513,1
17315,0
17928,0
7286,1
2596,1
14329,1
573,1
843,1
4556,0
7221,1
10463,0
10406,0
9875,1
5396,0
17212,0
13908,1
68,1
9292,1
8898,1
11659,0
17904,0
12603,0
6584,0
1360,1
8762,1
5691,0
6682,0
6422,1
12657,0
10812,0
13548,1
13655,1
14044,1
4341,0
3017,1
13747,1
17589,0
4075,0
15406,1
14264,1
4768,0
15324,1
2115,1
12058,0
7859,1
10249,0
12054,0
13874,1
16491,1
13270,0
17118,1
12314,0
6804,1
12890,0
17554,0
14518,1
11024,0
9263,1
12879,0
15092,1
9331,1
5134,0
7337,1
17037,1
8552,1
9466,1
13582,1
12807,0
13186,0
2036,1
3065,1
5472,0
7627,1
14229,1
6109,0
15015,1
13096,0
6820,1
1041,1
11585,0
14338,1
7947,1
1413,1
114,1
7222,1
4250,0
230,1
4404,0
10054,1
13867,1
2746,1
10138,1
10301,0
5813,0
10381,0
17063,1
14211,1
16217,1
10548,0
2703,1
3680,0
8950,1
4514,0
3598,0
7333,1
10843,0
13863,1
6824,1
17475,0
15818,1
11957,0
17536,0
16658,1
11802,0
17709,0
5101,0
7794,1
16536,1
7157,1
13308,0
1780,1
7623,1
11605,0
16835,1
3822,0
3795,0
11958,0
5886,0
12659,0
11360,0
8284,1
17682,0
12571,0
17135,0
3480,0
2055,1
5044,0
12689,0
6510,1
3838,0
9520,1
7944,1
17349,0
16407,1
6148,0
13887,1
8528,1
15662,1
16619,1
13628,1
6624,0
11631,0
8846,1
12359,0
13327,0
10389,0
14794,1
9674,1
2984,1
7477,1
15584,1
2815,1
2046,1
17748,0
15792,1
4923,0
4826,0
16946,1
17549,0
2347,1
9639,1
17370,0
14764,1
8457,1
10384,0
12887,0
13535,1
1414,1
499,1
668,1
6157,0
3033,1
9757,1
15017,1
17819,0
17627,0
5556,0
15148,1
3774,0
303,1
11429,0
1703,1
3834,0
8610,1
5896,0
8765,1
16664,1
1618,1
7649,1
12066,0
2924,1
3206,1
15419,1
4274,0
9315,1
5400,0
5196,0
10823,0
5723,0
17295,0
13801,1
12962,0
1950,1
6931,1
2736,1
7510,1
7665,1
1068,1
3660,0
8955,1
9558,1
2470,1
15446,1
17638,0
4746,0
4649,0
6975,1
1265,1
4194,0
2766,1
12389,0
3038,1
11036,0
11907,0
17696,0
582,1
11103,0
2896,1
11859,0
5032,0
15514,1
347,1
2947,1
2260,1
15928,1
6277,0
7300,1
9489,1
17472,0
5143,0
15487,1
5880,0
4952,0
13059,0
1477,1
4252,0
180,1
17221,0
7960,1
11579,0
16391,1
13077,0
255,1
8166,1
14645,1
15597,1
8941,1
10275,0
4513,0
15327,1
2631,1
107,1
3717,0
4463,0
8369,1
416,1
12714,0
8139,1
8594,1
6872,1
7077,1
2265,1
16768,1
13906,1
11256,0
5079,0
8660,1
7921,1
4606,0
15381,1
13075,0
14842,1
8873,1
17237,0
2621,1
2030,1
16132,1
39,1
5987,0
6367,0
11789,0
6734,0
3508,0
7401,1
6451,1
12750,0
2980,1
3437,0
8574,1
8025,1
5399,0
7159,1
3544,0
8480,1
2867,1
4442,0
10368,0
11366,0
12963,0
14004,1
8121,1
6891,1
1878,1
5371,0
14814,1
9027,1
9525,1
16030,1
17395,0
3665,0
13935,1
2729,1
15128,1
7457,1
18007,0
13464,0
13418,0
12885,0
3076,1
5678,0
17870,0
6333,0
13469,0
16104,1
5932,0
10166,1
5297,0
2727,1
17309,0
17462,0
3836,0
36,1
10798,0
4187,0
675,1
3633,0
1555,1
3529,0
6398,1
3979,0
12177,0
6817,1
3708,0
8953,1
14307,1
11527,0
5775,0
7103,1
5384,0
15748,1
3820,0
12735,0
17766,0
16807,1
7646,1
1746,1
14383,1
10223,0
17925,0
15624,1
1052,1
4038,0
5834,0
3405,0
3705,0
17573,0
3955,0
5352,0
3375,0
